fixture_id,field_kind,ground_truth_present,expected_direction,projection_id,observed_minus_null,upper_tail_p,lower_tail_p,two_sided_p,familywise_p,robust_standardized_effect,effect_direction,parent_count,nested_parent_uncertainty,scout_status,representation_status,fragility_supported,baseline_excluded,method_a_positive,method_b_positive
SYN-15,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.45577570636991055,0.0078125,1.0,0.015625,0.03125,193.3720080567719,UPPER,12,0.0006804041324468845,ELIGIBLE,PASS,True,True,True,True
SYN-15,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.4315278682339907,0.0078125,1.0,0.015625,0.03125,172.15842208711905,UPPER,12,0.0007235856598454525,ELIGIBLE,PASS,True,True,True,True
SYN-16,MANIFOLD_SAMPLES,True,UPPER,neighbor_coherence,0.9043003802679502,0.0078125,1.0,0.015625,0.03125,228.0630949402778,UPPER,12,0.0011446351460605722,ELIGIBLE,PASS,True,True,True,True
SYN-16,MANIFOLD_SAMPLES,True,UPPER,spectral_concentration,0.6576122203862063,0.0078125,1.0,0.015625,0.03125,154.95961020884226,UPPER,12,0.0012250695260225266,ELIGIBLE,PASS,True,True,True,True
SYN-17,GRAPH_GEOMETRY,True,UPPER,graph_spectral_gap,-0.30302023518727994,1.0,0.0078125,0.015625,0.03125,-57.2064587098027,LOWER,12,0.0015291001951611904,ELIGIBLE,FAIL,True,True,False,False
SYN-17,GRAPH_GEOMETRY,True,UPPER,graph_triangle_clustering,0.3324022346368715,0.0078125,1.0,0.015625,0.03125,61.201605288007066,UPPER,12,0.0015678716166325599,ELIGIBLE,FAIL,True,True,False,False
SYN-18,GRAPH_GEOMETRY,False,NONE,graph_spectral_gap,-0.012751221642109262,0.765625,0.2421875,0.484375,0.96875,-1.609183692806077,LOWER,12,0.00228747074696324,ELIGIBLE,FAIL,True,True,False,False
SYN-18,GRAPH_GEOMETRY,False,NONE,graph_triangle_clustering,0.04087912087912088,0.0078125,1.0,0.015625,0.03125,6.934581792415383,UPPER,12,0.001701729978122807,ELIGIBLE,FAIL,True,True,False,False
SYN-19,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.5356291032140319,0.0078125,1.0,0.015625,0.03125,415.39289625244413,UPPER,12,0.0003722326617960304,ELIGIBLE,PASS,True,True,True,True
SYN-19,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7845920270070841,0.0078125,1.0,0.015625,0.03125,455.78527690226707,UPPER,12,0.0004969274359576412,ELIGIBLE,PASS,True,True,True,True
SYN-20,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.45136254213785787,0.0078125,1.0,0.015625,0.03125,162.504173880147,UPPER,12,0.0008018079750911636,ELIGIBLE,PASS,True,True,True,True
SYN-20,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.776837138205348,0.0078125,1.0,0.015625,0.03125,810.72502824069,UPPER,12,0.00027660866214568276,ELIGIBLE,PASS,True,True,True,True
SYN-21,SCALAR_FIELD_2D,False,CHANNEL_DEPENDENT,neighbor_coherence,0.5511661659302295,0.0078125,1.0,0.015625,0.03125,412.1403187127541,UPPER,12,0.00038605290458104414,ELIGIBLE,PASS,True,True,True,True
SYN-21,SCALAR_FIELD_2D,False,CHANNEL_DEPENDENT,spectral_concentration,0.7843724414927782,0.0078125,1.0,0.015625,0.03125,494.72754845066635,UPPER,12,0.00045768387232426167,ELIGIBLE,PASS,True,True,True,True
SYN-22,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.5274181698507587,0.0078125,1.0,0.015625,0.03125,331.0058498674133,UPPER,12,0.0004599692459526122,ELIGIBLE,PASS,True,True,True,True
SYN-22,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7338242322305304,0.0078125,1.0,0.015625,0.03125,482.9987757103401,UPPER,12,0.00043858663760904556,ELIGIBLE,PASS,True,True,True,True
SYN-23,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.46940825090822225,0.0078125,1.0,0.015625,0.03125,345.2299392712898,UPPER,12,0.0003925108300191849,ELIGIBLE,PASS,True,True,True,True
SYN-23,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.6672173564972269,0.0078125,1.0,0.015625,0.03125,946.7324739978139,UPPER,12,0.0002034461323350328,ELIGIBLE,PASS,True,True,True,True
SYN-24,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.8569739467834673,0.0078125,1.0,0.015625,0.03125,313.9910702800544,UPPER,12,0.0007878793152025515,ELIGIBLE,PASS,True,True,True,True
SYN-24,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7610441124830352,0.0078125,1.0,0.015625,0.03125,329.54401911128525,UPPER,12,0.0006666621114717922,ELIGIBLE,PASS,True,True,True,True
SYN-25,SCALAR_FIELD_2D,False,CHANNEL_DEPENDENT,neighbor_coherence,-0.9974549278921004,1.0,0.0078125,0.015625,0.03125,-389.6243630448031,LOWER,12,0.0007390206128573153,ELIGIBLE,FAIL,True,True,False,False
SYN-25,SCALAR_FIELD_2D,False,CHANNEL_DEPENDENT,spectral_concentration,0.795485941951291,0.0078125,1.0,0.015625,0.03125,1080.1540147348837,UPPER,12,0.00021259654477832335,ELIGIBLE,FAIL,True,True,False,False
