station,observed_winner_N,null_winner_N,null_winner_count,null_winner_fraction,status
Changping,14,12,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,13,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,14,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,15,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,16,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,17,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,18,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,19,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,20,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,4,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,5,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,6,21,0.16535433070866143,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,7,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,8,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,9,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,10,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,11,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,12,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,13,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,14,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,15,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,16,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,17,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,18,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,19,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,20,1,0.007874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,4,18,0.14173228346456693,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,5,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,6,19,0.14960629921259844,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,7,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,8,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,9,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,10,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,11,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,12,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,13,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,14,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,15,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,16,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,17,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,18,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,19,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,20,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,4,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,5,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,6,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,7,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,8,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,9,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,10,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,11,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,12,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,13,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,14,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,15,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,16,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,17,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,18,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,19,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,20,1,0.007874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,4,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,5,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,6,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,7,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,8,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,9,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,10,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,11,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,12,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,13,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,14,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,15,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,16,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,17,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,18,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,19,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,20,1,0.007874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,4,14,0.11023622047244094,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,5,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,6,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,7,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,8,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,9,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,10,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,11,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,12,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,13,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,14,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,15,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,16,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,17,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,18,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,19,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Huairou,8,20,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,4,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,5,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,6,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,7,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,8,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,9,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,10,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,11,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,12,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,13,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,14,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,15,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,16,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,17,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,18,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,19,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,20,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,4,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,5,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,6,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,7,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,8,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,9,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,10,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,11,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,12,14,0.11023622047244094,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,13,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,14,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,15,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,16,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,17,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,18,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,19,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,20,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,4,14,0.11023622047244094,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,5,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,6,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,7,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,8,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,9,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,10,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,11,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,12,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,13,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,14,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,15,1,0.007874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,16,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,17,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,18,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,19,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,20,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,4,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,5,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,6,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,7,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,8,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,9,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,10,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,11,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,12,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,13,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,14,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,15,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,16,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,17,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,18,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,19,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,20,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,4,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,5,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,6,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,7,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,8,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,9,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,10,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,11,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,12,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,13,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,14,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,15,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,16,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,17,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,18,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,19,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,20,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
