left_station,right_station,metric,correlation
Shunyi,Wanshouxigong,baseline_effect_across_N,-0.12226085177215637
Tiantan,Aotizhongxin,baseline_effect_across_N,0.12658797091412954
Tiantan,Changping,baseline_effect_across_N,-0.3140091869395921
Tiantan,Dingling,baseline_effect_across_N,-0.4290120671949139
Tiantan,Dongsi,baseline_effect_across_N,0.40546869343068015
Tiantan,Guanyuan,baseline_effect_across_N,0.039011661566250404
Tiantan,Gucheng,baseline_effect_across_N,-0.12116918671095563
Tiantan,Huairou,baseline_effect_across_N,-0.3691734664476542
Tiantan,Nongzhanguan,baseline_effect_across_N,0.3076127613552972
Tiantan,Shunyi,baseline_effect_across_N,-0.32953889275290404
Tiantan,Tiantan,baseline_effect_across_N,1.0
Tiantan,Wanliu,baseline_effect_across_N,0.03866831950388942
Tiantan,Wanshouxigong,baseline_effect_across_N,0.8232712943342823
Wanliu,Aotizhongxin,baseline_effect_across_N,0.9000967059289255
Wanliu,Changping,baseline_effect_across_N,0.8097632791899677
Wanliu,Dingling,baseline_effect_across_N,0.7172924728339847
Wanliu,Dongsi,baseline_effect_across_N,0.8872772059458556
Wanliu,Guanyuan,baseline_effect_across_N,0.8800643973972349
Wanliu,Gucheng,baseline_effect_across_N,0.9351583921401427
Wanliu,Huairou,baseline_effect_across_N,0.7784049719638874
Wanliu,Nongzhanguan,baseline_effect_across_N,0.9105331199361827
Wanliu,Shunyi,baseline_effect_across_N,0.7580109874989192
Wanliu,Tiantan,baseline_effect_across_N,0.03866831950388942
Wanliu,Wanliu,baseline_effect_across_N,1.0
Wanliu,Wanshouxigong,baseline_effect_across_N,0.3666733672246721
Wanshouxigong,Aotizhongxin,baseline_effect_across_N,0.49830576029732915
Wanshouxigong,Changping,baseline_effect_across_N,0.03219835924798286
Wanshouxigong,Dingling,baseline_effect_across_N,-0.059793971220680295
Wanshouxigong,Dongsi,baseline_effect_across_N,0.6816339751859295
Wanshouxigong,Guanyuan,baseline_effect_across_N,0.3273798386694941
Wanshouxigong,Gucheng,baseline_effect_across_N,0.24526821321251369
Wanshouxigong,Huairou,baseline_effect_across_N,-0.027776421630774383
Wanshouxigong,Nongzhanguan,baseline_effect_across_N,0.5874265946898115
Wanshouxigong,Shunyi,baseline_effect_across_N,-0.1222608517721564
Wanshouxigong,Tiantan,baseline_effect_across_N,0.8232712943342823
Wanshouxigong,Wanliu,baseline_effect_across_N,0.36667336722467203
Wanshouxigong,Wanshouxigong,baseline_effect_across_N,1.0
